Browser Name,Browser Version
chrome,123.0.6312.106
Operating System,Processor Info,RAM Info
Windows,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel",7.86 GB
Wasm_time_taken,Js_time_taken
5.80 ms,12.70 ms
2.20 ms,9.80 ms
2.20 ms,11.30 ms
3.10 ms,11.60 ms
2.70 ms,9.50 ms
